Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
HOL SNACK STEP UP TO THE BAR MIX,5.99,160 ,10 g,1.5 g,0 g,0 mg,180 mg,15 g,1 g,2 g,3 g,0.1 mcg,30 mg,0.4 mg,80 mg
HOL OAT NOG QUART,0.99,70,2.5g,0g,0g,0mg,85mg,11g,0g,11g,1g,1.4mcg,50mg,0.3mg,70mg
COOKIES MOLASSES,4.99,150 ,6 g,3 g,0 g,5 mg,140 mg,22 g,0 g,12 g,1 g,,,,
HAIR RESCUE GIFT SET,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPREAD MUSHROOM TRUFFLE PESTO,4.99,270 ,27 g,4.0 g,0 g,10 mg,400 mg,2 g,less than 1 g,0 g,4 g,,,,
GREEN GODDESS DIP,4.49,90,9 g,1.5 g,0 g,10 mg,150 mg,2 g,less than 1 g,less than 1 g,less than 1 g,,,,
JOE'S CARVERY JERKY BITES,2.99,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CANDIED PECANS,4.49,220 ,20 g,2 g,0 g,0 mg,95 mg,7 g,2 g,4 g,3 g,0.2 mcg,10 mg,0.8 mg,90 mg
OLVS GRK MEDLEY IN BRINE,3.99,20 ,2.5 g,0 g,0 g,0 mg,280 mg,0 g,0 g,0 g,0 g,,,,
LEMON RICOTTA,13.99,60,3g,1.5g,0g,15mg,90mg,6g,N/A,4g,3g,,,,
PERSIMMONS EACH FUYU,0.79,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL WINTRY BLEND COFFEE,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL WINTER WAKE UP TEA,2.79,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL DK CHOC COLLECTION,7.99,160 ,9 g,6 g,0 g,0 mg,10 mg,17 g,1 g,12 g,2 g,0.3 mcg,30 mg,3.3 mg,140 mg
HOL SPARKLING SUGAR PLUM BEVERAGE,3.99,70,0 g,N/A,N/A,N/A,15 mg,18 g,N/A,17 g,0 g,N/A,N/A,0.2 mg,110 mg
NY DELI-STYLE CHEESECAKE,7.99,400,25g,15g,0.5g,85g,250g,40g,less than 1g,29g,6g,0.2mcg,70mg,0.5mg,120mg
BON BONS MINT & CHIP VEGAN,4.49,70,5 g,4.5 g,0 g,0 mg,5 mg,6 g,0 g,5 g,0 g,0 mcg,0 mg,0.5 mg,60 mg
HOL BRIE EN CROUTE,6.99,330 ,27 g,12 g,0.5 g,50 mg,400 mg,12 g,0 g,0 g,10 g,0.1 mcg,190 mg,2.3 mg,20 mg
HOL CRISPY VEGETABLE POUCHES,4.49,200,10 g,2.0 g,0 g,0 mg,430 mg,25 g,2 g,2 g,3 g,0 mcg,10 mg,1.5 mg,150 mg
HOL FRIED OLIVE BITES,4.79,210,14 g,3.5 g,0 g,10 mg,900 mg,20 g,4 g,3 g,3 g,0 mcg,50 mg,0.6 mg,50 mg
SCALLOPS WRAPPED IN UNCURED BACON,8.99,180,14g,4.5g,0g,30mg,300mg,5g,0g,N/A,9g,N/A,,,N/A
CRACKERS TARALLI & FRIENDS ORG ITALIAN,3.29,130 ,5 g,0.5 g,0 g,0 mg,250 mg,18 g,0 g,less than 1 g,3 g,0 mcg,150 mg,0.3 mg,50 mg
SPICE BLACK GARLIC 1.02OZ,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAKING MIX FOCACCIA W/ HERBS & SEA SALT,2.99,100 ,0 g,0 g,0 g,0 mg,290 mg,21 g,less than 1 g,1 g,3 g,0 mcg,10 mg,1.2 mg,30 mg
ORGANIC WHOLE TURKEY,3.99,160 ,6 g,1.5 g,0 g,80 mg,125 mg,0 g,0 g,0 g,24 g,13.4 mcg,10 mg,1.0 mg,250 mg
KOSHER NATURAL WHOLE TURKEY,3.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NATURAL BRINED WHOLE TURKEY (4/PK),2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WHOLE NAE 18-22 LB,2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DATES ORGANIC PITTED DEGLET NOOR,2.99,110 ,0 g,0 g,0 g,0 mg,0 mg,30 g,3 g,25 g,less than 1 g,0 mcg,20 mg,0.4 mg,260 mg
HOL SPICE WINE SALT INFUSED,4.99,0,0g,N/A,N/A,N/A,160mg,0g,N/A,N/A,0g,N/A,N/A,N/A,N/A
REUSABLE FLOWER BAG,0.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL CUT 40 MONTH PARMESAN REG,17.99,110,8g,5g,0g,25mg,180mg,0g,N/A,0g,9g,,,,
HOL SPARKLING POMEGRANATE PUNCH 4PK,4.49,50,0g,0g,0g,0mg,110mg,13g,0g,12g,0g,0mcg,0mg,0mg,0mg
HOL CAT ADVENT CALENDAR,7.49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL DOG ADVENT CALENDAR,7.49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2 LB VEGGIES BUTTERNUT SQUASH,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ PLAT RES PINOT NOIR CARNEROS LOT 79,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPARKLING CRANBERRY JUICE,2.99,150 ,0 g,N/A,N/A,N/A,20 mg,37 g,N/A,33 g,Less than 1 g,N/A,23 mg,N/A,93 mg
