Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
SOUP CHILI CAULIFLOWER KALE,3.99,190 ,9 g,1.5 g,0 g,0 mg,570 mg,23 g,6 g,8 g,6 g,0 mcg,100 mg,2.3 mg,680 mg
R-BABY CORN 6OZ,2.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RICE JOLLOF,2.69,210 ,0.5 g,0 g,0 g,0 mg,135 mg,43 g,2 g,2 g,4 g,0 mcg,40 mg,1.8 mg,160 mg
TJ PLAT RES CAB SAUV NAPA LOT 103,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOT CHOC  MARSHMLLOW SPOON,0.99,160,10 g,6 g,0 g,less than 5 mg,15 mg,14 g,N/A,12 g,2 g,,,,
HOL BATONS PUMPKIN,2.29,120,6 g,3.0 g,0 g,0 mg,40 mg,15 g,0 g,9 g,1 g,0.0 mcg,20 mg,0.6 mg,40 mg
HOL POPCORN KETTLE MAPLE SEA SALT,2.99,150,7 g,4.5 g,0 g,0 mg,150 mg,21 g,1 g,14 g,1 g,0.0 mcg,0 mg,0.3 mg,30 mg
HOL PUMPKIN OAT BEVERAGE,2.99,150,5g,0.5g,0g,0mg,95mg,24g,2g,8g,2g,0mcg,10mg,0.3mg,80mg
HOL MAC & CHEESE BUTTERNUT SQUASH,3.79,250,8 g,4.5 g,0 g,25 mg,480 mg,38 g,2 g,4 g,11 g,0.4 mcg,180 mg,2.0 mg,90 mg
VANILLA PUMPKIN CANDLE,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPICE GREEN GODDESS BLEND,2.99,0 ,0 g,N/A,N/A,N/A,95 mg,less than 1 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
HOL TJ'S PUMPKIN SPICE CREAM LIQUEUR 750ML,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL ALMONDS MAPLE,5.99,180 ,14 g,1 g,0 g,0 mg,220 mg,10 g,3 g,5 g,6 g,0 mcg,80 mg,1.0 mg,200 mg
HOL GUMMY SPOOKY SOUR CATS AND BATS,3.49,100,0g,0g,0g,0mg,15mg,26g,0g,20g,0g,0mcg,0mg,0mg,0mg
HOL BISCOTTI MAPLE WALNUT,4.49,110 ,4.5 g,2 g,0 g,20 mg,40 mg,16 g,0 g,8 g,2 g,0 mcg,20 mg,0.7 mg,30 mg
HOL EMPANADAS PUMPKIN,3.99,160 ,6 g,1.5 g,0 g,15 mg,95 mg,22 g,2 g,2 g,5 g,0 mcg,10 mg,1.3 mg,100 mg
HOL PASTA SAUCE ALFREDO PUMPKIN,3.49,90,6g,3.5g,0g,15mg,370mg,8g,N/A,2g,1g,,,,
HOL BLONDIE PUMPKIN W WHITE CHOC CHIP AND PECAN,4.49,110 ,5 g,2.5 g,0 g,20 mg,150 mg,14 g,0 g,10 g,2 g,0.1 mcg,30 mg,0.5 mg,40 mg
SLICED RACLETTE,6.99,100 ,8 g,4 g,0 g,25 mg,220 mg,0 g,0 g,0 g,7 g,,,,
SOUP KIMCHI & TOFU,3.49,260 ,6 g,1 g,0 g,0 mg,980 mg,43 g,4 g,14 g,11 g,0 mcg,90 mg,2.3 mg,330 mg
CHILI SESAME OIL,2.69,110 ,12 g,2 g,0 g,0 mg,0 mg,1 g,less than 1 g,0 g,0 g,,,,
HOL PUMPKIN SAMOSAS,4.29,170,8 g,1.5 g,0 g,5 mg,340 mg,20 g,2 g,3 g,6 g,0 mcg,60 mg,1.1 mg,130 mg
HOL PRETZELS PUMPKIN SPICE PUMPKIN SEEDS,3.49,,7 g,6 g,0 g,0 mg,210 mg,21 g,less than 1 g,13 g,2 g,0 mcg,30 mg,0.5 mg,80 mg
HOL PUMPKIN SPICE ESPRESSO BEANS,0.99,180 ,10 g,6 g,0 g,5 mg,25 mg,21 g,less than 1 g,19 g,2 g,0 mcg,60 mg,0.2 mg,120 mg
OLIVES KALAMATA PERI PERI JALAPENO,2.49,35,4g,0g,0g,0mg,180mg,0g,N/A,0g,0g,,,,
PANCAKE MAPLE PUFFS,3.49,420,22 g,2 g,0 g,65 mg,390 mg,48 g,1 g,24 g,6 g,0 mcg,70 mg,0.6 mg,210 mg
JAPCHAE KOREAN GLASS NOODLES & VEG STIR FRY,3.49,190 ,6 g,1 g,0 g,0 mg,560 mg,34 g,2 g,7 g,1 g,0 mcg,30 mg,0.8 mg,140 mg
TJ PET RES ZIN SONOMA,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ GR RES PINOT NOIR SRH LOT 106,12.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ GR RES PINOT NOIR RRV LOT 105,12.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WHITE CHOC BAKING CHIPS,2.99,80 ,4 g,2.5 g,0 g,0 mg,10 mg,10 g,0 g,10 g,less than 1 g,0.2 mcg,20 mg,0 mg,30 mg
PASTA RAV PUMPKIN HONEY RSTD,3.99,220 ,5 g,2.5 g,0 g,20 mg,160 mg,36 g,3 g,4 g,8g,0 mcg,90 mg,1 mg,180 mg
HOL CARAMEL SEA SALT BAKING CHIPS,2.99,80 ,4 g,3.5 g,0 g,0 mg,65 mg,10 g,0 g,10 g,0 g,0 mcg,10 mg,0.1 mg,30 mg
HOL BUTTERNUT SQUASH MAC & CHEESE BITES,3.99,230,16g,7g,0g,45mg,320mg,18g,1g,2g,5g,0.2mcg,110mg,0.9mg,150mg
HOL PUMPKIN MAPLE BACON STUFFIES,4.49,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL ROLLS PMPKN W/PMPKN ICING,4.49,330,11 g,4.5 g,0 g,0 mg,690 mg,53 g,1 g,25 g,4 g,0 mcg,0 mg,1.9 mg,0 mg
HAND SOAP FOAMING APPLE CIDER,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL PUMPKIN SPICE COFFEE,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PUMPKIN SPICE COFFEE K CUP,1.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CIDER APPLE 1/2 GAL,4.99,120,0g,0g,0g,0mg,10mg,29g,N/A,25g,0g,N/A,,,260mg
APPLE 1/2 GAL JUICE,4.29,120 ,0 g,0 g,0 g,Less than 5mg mg,10 mg,30 g,1 g,29 g,Less than 1g g,1.4 mcg,0 mg,0.2 mg,270 mg
HOL COOKIE KIT HAUNTED HOUSE,9.99,120 ,3.5 g,1.5 g,0 g,0 mg,40 mg,20 g,0 g,12 g,1 g,0.1 mcg,0 mg,0.7 mg,30 mg
HOL CRACKERS SNACK PUMPKIN CRANBERRY CRISPS,3.99,90 ,1.5 g,0 g,0 g,0 mg,120 mg,17 g,1 g,7 g,2 g,0 mcg,30 mg,0.5 mg,60 mg
HOL BOURBON BARREL MAPLE SYRUP ORG,9.99,110 ,0 g,0 g,0 g,0 mg,5 mg,28 g,0 g,25 g,0 g,,,,
HOL SOUP PUMPKIN BISQUE,4.99,390 ,27 g,8 g,0 g,25 mg,790 mg,35 g,4 g,23 g,4 g,,,,
HOL SOUP AUTUMNAL HARVEST,4.99,150 ,8 g,4.5 g,0 g,20 mg,790 mg,20 g,4 g,11 g,3 g,2.9 mcg,60 mg,1 mg,480 mg
HOL VANILLA BEAN PASTE ORG,4.99,15,0g,N/A,N/A,N/A,0mg,4g,N/A,4g,0g,N/A,N/A,N/A,N/A
HOL GF PMPKN BREAD & MUFFIN MIX,4.49,120 ,0.5 g,0 g,0 g,0 mg,230 mg,27 g,Less than 1 g,16 g,1 g,0 mcg,10 mg,0.6 mg,50 mg
HOL PUMPKIN BREAD & MUFFIN MIX,3.49,120,0.5g,0g,0g,0mg,220mg,26g,less than 1g,14g,1g,0mcg,10mg,0.7mg,30mg
HOL PUMPKIN SPREAD,2.99,50 ,0 g,0 g,0 g,0 mg,0 mg,13 g,N/A,12 g,0 g,,,,
HOL PUMPKIN CHEESECAKE,7.99,430,25 g,15 g,0.5 g,80 mg,250 mg,48 g,1 g,33 g,6 g,0.2 mcg,70 mg,1 mg,160 mg
HOL PUMPKIN ICE CREAM,4.99,290 ,13 g,8 g,0 g,60 mg,75 mg,41 g,0 g,38 g,4 g,0.5 mcg,120 mg,0.2 mg,110 mg
HOL PUMPKIN SOUP,4.49,100 ,4.5 g,2 g,0 g,10 mg,760 mg,16 g,3 g,8 g,1 g,0 mcg,50 mg,0.9 mg,290 mg
HUMMUS PUMPKIN SPICE,2.49,70,2.5g,0g,0g,0mg,N/A,10g,N/A,7g,less than 1g,,,,
HOL CREAMY AUTUMNAL HARVEST,3.99,100,6 g,3.5 g,0 g,20 mg,500 mg,12 g,2 g,8 g,1 g,0 mcg,30 mg,0.7 mg,290 mg
HOL YOGURT GREEK PUMPKIN 5.3 OZ 0%,0.99,130 ,0 g,0 g,0 g,5 mg,70 mg,20 g,0 g,17 g,12 g,,,,
COFFEE SMALL LOT BALI  KINTAMANI,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YOGURT ORGANIC PUMPKIN CULTURED CASHEW 5.3OZ,1.79,140 ,6 g,1 g,0 g,0 mg,10 mg,19 g,1 g,12 g,3 g,0 mcg,20 mg,0.2 mg,40 mg
HOL PANCAKES SWEET CINNAMON FILLED,4.49,280 ,8 g,1.5 g,0 g,0 mg,180 mg,49 g,3 g,27 g,4 g,1 mcg,20 mg,0.7 mg,80 mg
CUT CANESTRATO PEPATO,11.99,110,9g,6g,0g,25mg,270mg,0g,N/A,0g,7g,,,,
CRACKERS ROSEMARY SFOGLIETTE,1.69,140 ,6 g,0.5 g,0 g,0 mg,320 mg,19 g,less than 1 g,1 g,3 g,0 mcg,10 mg,0.3 mg,50 mg
COCONUT OIL BODY BUTTER,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOLIDAY CHALLAH PLAIN,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOLIDAY CHALLAH PLAIN,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLUSTERS MAPLE PECAN,4.49,230 ,7 g,1 g,0 g,0 mg,140 mg,39 g,3 g,11 g,4 g,0 mcg,0 mg,1.1 mg,120 mg
VEGGIE BITES ORGANIC,3.69,180 ,8 g,1.0 g,0 g,0 mg,380 mg,22 g,4 g,2 g,4 g,0.0 mcg,50 mg,0.9 mg,250 mg
SPARKLING WATER GREEN APPLE 1 LT,0.0,0 ,0 g,N/A,N/A,N/A,0 mg,0 g,N/A,0 g,0 g,N/A,N/A,N/A,N/A
SPARKLING MINERAL WATER GREEN APPLE 1.25 LT,0.99,0 ,0 g,N/A,N/A,N/A,60 mg,0 g,N/A,0 g,0 g,N/A,N/A,N/A,N/A
LEMON SPATCHCOCKED CHICKEN,5.99,230 ,18 g,4.5 g,0 g,70 mg,380 mg,1 g,0 g,less than 1 g,17 g,0.2 mcg,10 mg,0.7 mg,180 mg
HOL TRAY SPICY CHARCUTERIE,8.99,150 ,10 g,3.5 g,0 g,50 mg,1030 mg,2 g,Less than 1 g,Less than 1 g,12 g,0 mcg,0 mg,0.9 mg,270 mg
HOL BABKA CINNAMON,5.99,200 ,10 g,3.5 g,0 g,30 mg,150 mg,26 g,less than 1 g,7 g,4 g,1.2 mcg,10 mg,1 mg,50 mg
PETITE CARROTS MANY COLORS 1LB,4.29,30 ,0 g,0 g,0 g,0 mg,65 mg,7 g,N/A,N/A,Less than 1g g,N/A,27.2 mg,0.7565 mg,200 mg
POTATO SWEET MURASAKI 3 LB,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPLE EACH HONEYCRISP,1.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEATBALLS ITALIAN STYLE,4.99,240 ,20 g,8 g,1 g,65 mg,450 mg,5 g,1 g,2 g,11 g,N/A,,,N/A
CUT CHEDDAR W SCOTCH BONNET CHILI,9.99,110,9g,6g,0g,30mg,140mg,2g,N/A,1g,6g,,,,
TOFU SCRAMBLE W/ SOY CHORIZO,3.99,370 ,21 g,7 g,0 g,0 mg,980 mg,26 g,5 g,5 g,25 g,0 mcg,220 mg,7.2 mg,620 mg
VEGAN CREAM CHEESE ALTERNATIVE,2.99,90 ,9 g,8 g,0 g,0 mg,160 mg,4 g,0 g,0 g,0 g,,,,
PEANUT BUTTER PEANUTS CRISPY,2.69,170 ,11 g,5 g,0 g,less than 5 mg,85 mg,14 g,less than 1 g,12 g,4 g,0 mcg,50 mg,0.5 mg,140 mg
SUBLIME ICE CREAM SANDWICHES,4.99,370 ,19 g,10 g,0 g,40 mg,150 mg,51 g,less than 1g,34 g,5 g,0.0 mcg,60 mg,1.6 mg,80 mg
MANDARIN ORANGE CHICKEN,4.99,320,16g,3.5g,0g,95mg,330mg,24g,1g,N/A,21g,N/A,,,N/A
PEANUT BUTTER CUPS DARK CHOC,4.49,140 ,9 g,5 g,0 g,0 mg,75 mg,14 g,1 g,11 g,2 g,,,,
ORGANIC CORN CHIP DIPPERS,2.49,160,10g,1g,0g,0mg,125mg,16g,1g,0g,2g,0mcg,0mg,0.4mg,0mg
PEANUT BUTTER PRETZEL SALT,2.49,150 ,7 g,1 g,0 g,0 mg,240 mg,17 g,1 g,2 g,5 g,0 mcg,20 mg,1.5 mg,110 mg
COLD BREW CONCENTRATE,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UNEXPECTED CHEDDAR,3.99,110 ,9 g,6 g,0 g,25 mg,180 mg,less than 1 g,N/A,0 g,7 g,,,,
ENGLISH CHEDDAR W CARAMELIZED ONIONS,9.99,110,9g,6g,0g,20mg,190mg,1g,N/A,1g,6g,,,,
SPICE EVERYTHING BUT BAGEL 2.3OZ,1.99,5 ,0 g,N/A,N/A,N/A,80 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
JOE'S DINER MAC & CHEESE,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TACO SHELLS ORGANIC BLUE,2.49,130 ,7 g,2 g,0 g,0 mg,0 mg,15 g,2 g,0 g,2 g,0 mcg,20 mg,0.5 mg,60 mg
PASTA SAUCE CACIO E PEPE,3.79,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ORG BLACK BEANS,1.09,110 ,0 g,0 g,0 g,0 mg,130 mg,14 g,3 g,0 g,5 g,0 mcg,30 mg,1.1 mg,330 mg
GRAPES SWEET BABY THOMPSON SDLESS 1LB,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ RES CAB SAUV COLUMBIA VALLEY LOT 189,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVELY YOU CHARD LOW ALC,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVELY YOU ROSE LOW ALC,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVELY YOU CAB SAUV LOW ALC,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ RES CHARD RRV LOT 216,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ PET RES ROSE CENTRAL COAST,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POTATO CHIPS RIDGE CUT CAROLINA GOLD,2.69,140 ,7 g,0.5 g,0 g,0 mg,50 mg,18 g,1 g,2 g,2 g,0.0 mcg,10 mg,0.3 mg,300 mg
SHREDDED VEGAN PARMESAN,3.99,100 ,7 g,7 g,0 g,0 mg,380 mg,8 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,10 mg
BBQ SAUCE COLD BREW,2.99,45 ,0 g,0 g,0 g,0 mg,240 mg,11 g,less than 1 g,9 g,0 g,0.0 mcg,20 mg,0.4 mg,130 mg
MOCHI UBE,4.99,80 ,2 g,1.5 g,0 g,5 mg,10 mg,14 g,0 g,10 g,less than 1 g,0 mcg,20 mg,0 mg,40 mg
TJ GOAT LOG,2.99,80 ,6 g,4.5 g,0 g,25 mg,80 mg,Less than 1 g,0 g,Less than 1 g,5 g,,,,
OATMEAL CANISTER ORG OLD FASHN,2.99,160 ,2.5 g,0 g,0 g,0 mg,0 mg,29 g,4 g,0 g,6 g,0 mcg,20 mg,1.5 mg,140 mg
R-SHELLED EDAMAME,3.99,100 ,3 g,0 g,0 g,0 mg,160 mg,10 g,6 g,0 g,9 g,0 mcg,50 mg,2.2 mg,250 mg
R-SALAD COMPLETE VEGAN RANCH CRUNCH,3.49,150 ,11 g,1.5 g,0 g,0 mg,190 mg,9 g,3 g,3 g,3 g,0 mcg,50 mg,0.9 mg,260 mg
SALAD SW CHOPPED 13.6 OZ,3.49,160 ,12 g,3 g,0 g,5 mg,220 mg,8 g,N/A,3 g,5 g,0 mcg,80 mg,1.1 mg,230 mg
GLUTEN FREE ENGLISH MUFFIN 4 PK,3.99,150 ,1 g,0 g,0 g,0 mg,340 mg,30 g,less than 1 g,3 g,4 g,0 mcg,10 mg,0.6 mg,100 mg
SPARKLING GREEN TEA PINEAPPLE 4 PK,3.99,10,0g,N/A,N/A,N/A,15mg,3g,N/A,2g,0g,N/A,N/A,N/A,N/A
ORG KETCHUP,2.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ORG YELLOW MUSTARD,1.79,0 ,0 g,N/A,0 g,N/A,50 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
ORANGE ORGANIC STRAWBERRY BANANA 52 OZ,3.99,120,0 g,0 g,0 g,0 mg,15 mg,30 g,0 g,26 g,1 g,0 mcg,20 mg,0.9 mg,320 mg
PICKLES SWEET & SPICY CHIPS & ONIONS,2.99,30,0g,0g,0g,0mg,220mg,7g,0g,7g,0g,,,,
R-ORGANIC COLESLAW KIT,2.99,130 ,9 g,1 g,0 g,20 mg,140 mg,12 g,2 g,10 g,1 g,0.1 mcg,40 mg,0.6 mg,160 mg
HOLD THE DAIRY! VEGAN CHOC MINI CONES,3.99,370 ,17 g,14 g,0 g,0 mg,55 mg,48 g,2 g,29 g,5 g,0 mcg,20 mg,7.4 mg,330 mg
SPREAD PIMENTO CHEESE,3.99,100,9g,3.5g,0g,20mg,190mg,1g,0g,0g,4g,,,,
BOATSWAIN DOUBLE I.P.A.,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPARKLING WATER BLUEBERRY LEMONADE 8 PK,3.49,0 ,0 g,N/A,N/A,N/A,0 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
FIG & OLIVE CRISPS,3.99,90 ,2 g,0 g,0 g,0 mg,160 mg,16 g,1 g,7 g,2 g,0 mcg,20 mg,0.4 mg,10 mg
MUSHROOM CRISPY CRUNCHY,3.99,340 ,26 g,2.5 g,0 g,0 mg,240 mg,25 g,3 g,3 g,4 g,2.0 mcg,20 mg,0.6 mg,280 mg
TURKEY BURGERS,3.79,180,10g,2.5g,0g,80mg,280mg,0g,0g,0g,22g,N/A,,,N/A
SLCD HAM BLACK FOREST UNCURED,4.69,70,1g,0g,0g,35mg,730mg,2g,N/A,N/A,12g,N/A,,,N/A
NECTARINES BOX PALLET 4 LB,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIP GREEK YOGURT EVERYTHING AND THE ELOTE,3.79,60 ,4 g,2 g,0 g,10 mg,170 mg,4 g,0 g,2 g,1 g,,,,
FTO WAKE UP BLEND GROUND 14OZ,8.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FTO WAKE UP BLEND COFFEE,16.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CORNED BEEF DELI STYLE TREATS,2.99,18 kcal/treat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAG REUSABLE PRODUCE,1.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MANGO SHAVING CREAM,4.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLICED WHITE BREAD,1.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTRY LOAF VEGAN BANANA WALNUT BREAD,5.49,210 ,9 g,0.5 g,0 g,0 mg,125 mg,30 g,Less than 1g g,17 g,2 g,,,,
SLICED WHOLE WHEAT BREAD,2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MATCHA GREEN TEA STICKS,7.49,5 ,0 g,0 g,0 g,0 mg,0 mg,Less than 1 g,Less than 1 g,0 g,0 g,,,,
PRETZEL BAGELS,2.69,230 ,1.0 g,0 g,0 g,0 mg,340 mg,47 g,2 g,4 g,8 g,0 mcg,20 mg,2.5 mg,90 mg
SPARKLING WATER WATERMELON LEMONADE 8 PK,3.49,0,0g,N/A,N/A,N/A,0mg,0g,N/A,N/A,0g,N/A,N/A,N/A,N/A
SALAD COMPLETE ZA'ATAR TANGO,3.99,170 ,12 g,1.0 g,0 g,0 mg,270 mg,14 g,3 g,6 g,4 g,0.1 mcg,90 mg,2.0 mg,240 mg
COLD PRESSED PINEAPPLE,2.99,230 ,0 g,0 g,0 g,0 mg,0 mg,52 g,7 g,44 g,5 g,0.0 mcg,70 mg,0.0 mg,0 mg
LEMONADE SPICY MANGO,3.29,120,0g,N/A,N/A,N/A,0mg,31g,N/A,29g,0g,N/A,N/A,N/A,N/A
ENTREE VEGAN ENCHILADAS,5.99,260 ,11 g,3.5 g,0 g,0 mg,660 mg,35 g,6 g,4 g,5 g,0 mcg,210 mg,2.0 mg,440 mg
SALAD DRESSING SPICY CASHEW,3.99,40 ,2.5 g,0.5 g,0 g,0 mg,135 mg,4 g,0 g,1 g,less than 1 g,0 mcg,10 mg,0.4 mg,60 mg
CHEDDAR MELANGE,7.99,110,9g,6g,0g,25mg,125mg,1g,N/A,0g,7g,,,,
LITE SHREDDED MOZZARELLA CHEESE,3.49,60 ,2 g,1.5 g,0 g,10 mg,170 mg,3 g,0 g,less than 1 g,7 g,0.1 mcg,190 mg,0.1 mg,20 mg
CRISP CRUNCHY CRISPS,2.29,120 ,2.5 g,0 g,0 g,0 mg,250 mg,20 g,3 g,0 g,4 g,0.0 mcg,40 mg,1.4 mg,170 mg
JOE JOES PEANUT BUTTER,3.49,130 ,6 g,3.5 g,0 g,0 mg,70 mg,14 g,0 g,9 g,2 g,0 mcg,10 mg,0.7 mg,80 mg
WATERMELON CUC COOLER MWO 64OZ,3.49,90 ,0 g,N/A,N/A,N/A,30 mg,23 g,N/A,23 g,0 g,N/A,N/A,N/A,50 mg
RAW ALMONDS,4.99,170,15 g,1 g,0 g,0 mg,0 mg,7 g,4 g,1 g,6 g,0 mcg,80 mg,1 mg,220 mg
LEMON BARS,4.99,180 ,7 g,4 g,0 g,65 mg,60 mg,27 g,0 g,20 g,2 g,0.2 mcg,30 mg,0.3 mg,30 mg
MEXICAN STYLE ROASTED CORN,3.79,180 ,8 g,2 g,0 g,15 mg,115 mg,21 g,5 g,8 g,5 g,0 mcg,30 mg,0.4 mg,200 mg
MEATLESS MEATBALLS,3.99,150,7 g,0.5 g,0 g,0 mg,490 mg,8 g,2 g,1 g,15 g,0 mcg,61 mg,2 mg,427 mg
A-PEPPERS MINI SWEET 1LB,3.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIMEADE FRSH SQZD JUICE.,2.99,120 ,0 g,0 g,0 g,0 mg,5 mg,31 g,0 g,29 g,0 g,,,,
COCOA ALMOND SPREAD,3.99,210 ,13 g,2.0 g,0 g,0 mg,10 mg,21 g,1 g,19 g,2 g,,,,
ORGANIC CHICKEN DRUMSTICKS,2.99,180 ,10 g,0.5 g,0 g,90 mg,95 mg,0 g,N/A,N/A,22 g,N/A,2 mg,6 mg,N/A
PREMIUM CHOICE FLANK STEAK,14.99,200,10g,4.5g,0.5g,55mg,70mg,0g,0g,N/A,24g,N/A,,,360mg
SALSA AUTENTICA,2.29,10 ,0 g,0 g,0 g,N/A,250 mg,2 g,0 g,1 g,0 g,N/A,N/A,N/A,N/A
BEVERAGE OAT ORIGINAL HALF GALLON,3.99,90 ,5 g,0.5 g,0 g,0 mg,170 mg,9 g,Less than 1 g,9 g,2 g,2.9 mcg,110 mg,0.6 mg,150 mg
PLUMCOTS 1 LB,3.79,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAUSAGE CHICKEN ANDOUILLE,4.29,180 ,9 g,2.5 g,0 g,75 mg,960 mg,2 g,1 g,1 g,21 g,N/A,,,N/A
FIG COOKIES,2.49,150 ,3.5 g,1.5 g,0 g,0 mg,150 mg,28 g,1 g,15 g,1 g,0 mcg,20 mg,1.2 mg,50 mg
ORGANIC VANILLA CHIP ICE CREAM,5.99,280 ,17 g,10 g,0 g,50 mg,50 mg,29 g,N/A,26 g,4 g,0.4 mcg,120 mg,0.4 mg,170 mg
SALMON SOCKEYE FILLETS BBQ CEDAR WRAPPED,4.99,180 ,4.5 g,1 g,0 g,45 mg,370 mg,3 g,0 g,2 g,32 g,,,,
PEACHES BOX 4 LB. (PALLET),7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ KENTUCKY BOURBON,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REFRESH CITRUS BODY WASH,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COCONUT LEMONGRASS BODY OIL,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPARKLING YERBA MATE TEA ORG 12 OZ,1.49,0 ,0 g,0 g,0 g,0 mg,5 mg,Less than 1g g,0 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,50 mg
